,tiempo
343,100.0
344,100.0
345,101.0
346,100.0
347,101.0
348,100.0
349,101.0
350,101.0
351,100.0
352,101.0
353,100.0
354,101.0
355,100.0
356,100.0
357,100.0
358,101.0
359,100.0
360,100.0
361,100.0
362,102.0
363,101.0
364,101.0
365,102.0
366,101.0
367,102.0
368,101.0
369,100.0
370,101.0
371,101.0
372,102.0
373,101.0
374,101.0
375,101.0
376,101.0
377,101.0
378,102.0
379,101.0
380,102.0
381,102.0
382,101.0
383,101.0
384,101.0
385,102.0
386,102.0
387,101.0
388,102.0
389,101.0
390,102.0
391,102.0
392,101.0
393,101.0
394,102.0
395,102.0
396,103.0
397,102.0
398,102.0
399,102.0
400,102.0
401,103.0
402,102.0
403,102.0
404,103.0
405,102.0
406,103.0
407,103.0
408,103.0
409,103.0
410,103.0
411,103.0
412,103.0
413,102.0
414,102.0
415,102.0
416,104.0
417,103.0
418,103.0
419,103.0
420,104.0
421,104.0
422,104.0
423,104.0
424,104.0
425,103.0
426,104.0
427,103.0
428,104.0
429,104.0
430,103.0
431,104.0
432,104.0
433,104.0
434,105.0
435,104.0
436,105.0
437,104.0
438,105.0
439,103.0
440,103.0
441,104.0
442,104.0
443,103.0
444,104.0
445,104.0
446,104.0
447,105.0
448,104.0
449,105.0
450,105.0
451,104.0
452,105.0
453,105.0
454,104.0
455,105.0
456,105.0
457,105.0
458,104.0
459,105.0
460,105.0
461,106.0
462,104.0
463,105.0
464,106.0
465,105.0
466,105.0
467,104.0
468,105.0
469,106.0
470,105.0
471,105.0
472,106.0
473,105.0
474,105.0
475,106.0
476,106.0
477,106.0
478,106.0
479,106.0
480,106.0
481,107.0
482,106.0
483,107.0
484,105.0
485,105.0
486,105.0
487,106.0
488,105.0
489,106.0
490,105.0
491,106.0
492,107.0
493,107.0
494,106.0
495,106.0
496,106.0
497,106.0
498,107.0
499,107.0
500,107.0
501,107.0
502,106.0
503,107.0
504,106.0
505,106.0
506,106.0
507,106.0
508,106.0
509,106.0
510,106.0
511,107.0
512,107.0
513,107.0
514,106.0
515,106.0
516,107.0
517,108.0
518,108.0
519,108.0
520,108.0
521,107.0
522,107.0
523,108.0
524,108.0
525,108.0
526,108.0
527,108.0
528,108.0
529,107.0
530,108.0
531,107.0
532,108.0
533,108.0
534,108.0
535,107.0
536,107.0
537,107.0
538,107.0
539,108.0
540,108.0
541,109.0
542,108.0
543,108.0
544,109.0
545,108.0
546,108.0
547,109.0
548,109.0
549,109.0
550,109.0
551,108.0
552,109.0
553,109.0
554,108.0
555,108.0
556,109.0
557,108.0
558,108.0
559,109.0
560,108.0
561,109.0
562,109.0
563,109.0
564,109.0
565,109.0
566,109.0
567,109.0
568,110.0
569,109.0
570,110.0
571,110.0
572,110.0
573,110.0
574,110.0
575,109.0
576,110.0
577,109.0
578,109.0
579,109.0
580,110.0
581,110.0
582,110.0
583,110.0
584,109.0
585,109.0
586,110.0
587,110.0
588,110.0
589,111.0
590,110.0
591,111.0
592,111.0
593,110.0
594,110.0
595,110.0
596,110.0
597,111.0
598,110.0
599,109.0
600,110.0
601,110.0
602,111.0
603,111.0
604,110.0
605,111.0
606,111.0
607,110.0
608,111.0
609,111.0
610,110.0
611,111.0
612,112.0
613,111.0
614,111.0
615,111.0
616,112.0
617,111.0
618,112.0
619,111.0
620,111.0
621,111.0
622,111.0
623,111.0
624,111.0
625,111.0
626,111.0
627,111.0
628,111.0
629,112.0
630,111.0
631,111.0
632,112.0
633,111.0
634,112.0
635,111.0
636,112.0
637,112.0
638,112.0
639,112.0
640,112.0
641,112.0
642,113.0
643,113.0
644,113.0
645,113.0
646,113.0
647,112.0
648,112.0
649,113.0
650,112.0
651,112.0
652,112.0
653,112.0
654,112.0
655,112.0
656,112.0
657,112.0
658,112.0
659,113.0
660,114.0
661,114.0
662,112.0
663,113.0
664,113.0
665,114.0
666,114.0
667,113.0
668,114.0
669,113.0
670,114.0
671,113.0
672,114.0
673,114.0
674,114.0
675,113.0
676,114.0
677,114.0
678,114.0
679,113.0
680,114.0
681,113.0
682,113.0
683,113.0
684,113.0
685,113.0
686,114.0
687,114.0
688,113.0
689,113.0
690,113.0
691,113.0
692,114.0
693,113.0
694,113.0
695,114.0
696,114.0
697,115.0
698,114.0
699,114.0
700,114.0
701,114.0
702,115.0
703,115.0
704,114.0
705,115.0
706,115.0
707,114.0
708,115.0
709,114.0
710,114.0
711,115.0
712,115.0
713,115.0
714,115.0
715,115.0
716,115.0
717,114.0
718,115.0
719,114.0
720,115.0
721,114.0
722,115.0
723,115.0
724,115.0
725,115.0
726,115.0
727,114.0
728,114.0
729,115.0
730,114.0
731,114.0
732,116.0
733,115.0
734,116.0
735,116.0
736,116.0
737,115.0
738,115.0
739,115.0
740,115.0
741,115.0
742,114.0
743,115.0
744,115.0
745,115.0
746,116.0
747,115.0
748,115.0
749,115.0
750,115.0
751,116.0
752,116.0
753,115.0
754,115.0
755,116.0
756,115.0
757,116.0
758,116.0
759,116.0
760,115.0
761,115.0
762,115.0
763,116.0
764,116.0
765,115.0
766,115.0
767,115.0
768,116.0
769,115.0
770,117.0
771,116.0
772,116.0
773,116.0
774,117.0
775,116.0
776,115.0
777,115.0
778,116.0
779,115.0
780,117.0
781,117.0
782,117.0
783,116.0
784,116.0
785,117.0
786,116.0
787,117.0
788,117.0
789,116.0
790,116.0
791,117.0
792,117.0
793,117.0
794,116.0
795,117.0
796,116.0
797,117.0
798,116.0
799,117.0
800,116.0
801,117.0
802,116.0
803,117.0
804,117.0
805,117.0
806,117.0
807,117.0
808,118.0
809,116.0
810,117.0
811,117.0
812,118.0
813,117.0
814,118.0
815,116.0
816,118.0
817,117.0
818,118.0
819,117.0
820,118.0
821,117.0
822,117.0
823,117.0
824,117.0
825,118.0
826,118.0
827,118.0
828,117.0
829,117.0
830,117.0
831,117.0
832,117.0
833,118.0
834,118.0
835,118.0
836,118.0
837,117.0
838,118.0
839,117.0
840,118.0
841,119.0
842,119.0
843,118.0
844,118.0
845,119.0
846,119.0
847,119.0
848,118.0
849,118.0
850,118.0
851,118.0
852,119.0
853,118.0
854,119.0
855,118.0
856,118.0
857,119.0
858,118.0
859,119.0
860,119.0
861,119.0
862,119.0
863,119.0
864,120.0
865,119.0
866,120.0
867,120.0
868,118.0
869,120.0
870,118.0
871,119.0
872,118.0
873,118.0
874,120.0
875,119.0
876,119.0
877,119.0
878,119.0
879,119.0
880,120.0
881,120.0
882,120.0
883,119.0
884,119.0
885,120.0
886,119.0
887,119.0
888,120.0
889,120.0
890,120.0
891,120.0
892,120.0
893,120.0
894,120.0
895,119.0
896,119.0
897,119.0
898,119.0
899,120.0
900,119.0
901,121.0
902,119.0
903,120.0
904,120.0
905,120.0
906,121.0
907,120.0
908,120.0
909,120.0
910,119.0
911,119.0
912,120.0
913,120.0
914,121.0
915,120.0
916,120.0
917,121.0
918,120.0
919,120.0
920,121.0
921,121.0
922,121.0
923,120.0
924,120.0
925,121.0
926,120.0
927,121.0
928,121.0
929,121.0
930,120.0
931,121.0
932,121.0
933,121.0
934,120.0
935,120.0
936,121.0
937,121.0
938,121.0
939,120.0
940,121.0
941,120.0
942,121.0
943,121.0
944,121.0
945,121.0
946,121.0
947,121.0
948,121.0
949,120.0
950,120.0
951,120.0
952,121.0
953,121.0
954,120.0
955,121.0
956,120.0
957,120.0
958,120.0
959,120.0
960,121.0
961,122.0
962,122.0
963,121.0
964,122.0
965,122.0
