,tiempo
324,78.0
325,77.0
326,79.0
327,79.0
328,77.0
329,76.0
330,81.0
331,80.0
332,80.0
333,80.0
334,79.0
335,79.0
336,81.0
337,81.0
338,79.0
339,80.0
340,80.0
341,79.0
342,79.0
343,79.0
344,81.0
345,80.0
346,80.0
347,79.0
348,79.0
349,80.0
350,80.0
351,81.0
352,80.0
353,79.0
354,80.0
355,81.0
356,80.0
357,79.0
358,80.0
359,81.0
360,83.0
361,82.0
362,83.0
363,82.0
364,83.0
365,81.0
366,82.0
367,84.0
368,81.0
369,84.0
370,82.0
371,84.0
372,82.0
373,83.0
374,83.0
375,82.0
376,82.0
377,84.0
378,81.0
379,82.0
380,82.0
381,83.0
382,81.0
383,83.0
384,82.0
385,84.0
386,83.0
387,83.0
388,84.0
389,83.0
390,85.0
391,84.0
392,84.0
393,84.0
394,83.0
395,85.0
396,85.0
397,84.0
398,83.0
399,84.0
400,85.0
401,84.0
402,83.0
403,85.0
404,85.0
405,83.0
406,84.0
407,84.0
408,84.0
409,83.0
410,84.0
411,84.0
412,84.0
413,85.0
414,84.0
415,83.0
416,84.0
417,83.0
418,85.0
419,83.0
420,85.0
421,86.0
422,86.0
423,85.0
424,85.0
425,86.0
426,86.0
427,86.0
428,84.0
429,86.0
430,85.0
431,85.0
432,86.0
433,86.0
434,85.0
435,86.0
436,85.0
437,86.0
438,85.0
439,85.0
440,85.0
441,86.0
442,86.0
443,84.0
444,85.0
445,85.0
446,85.0
447,85.0
448,86.0
449,85.0
450,87.0
451,86.0
452,87.0
453,87.0
454,87.0
455,86.0
456,86.0
457,87.0
458,86.0
459,87.0
460,87.0
461,87.0
462,86.0
463,87.0
464,86.0
465,86.0
466,87.0
467,86.0
468,87.0
469,86.0
470,87.0
471,86.0
472,88.0
473,86.0
474,87.0
475,87.0
476,86.0
477,87.0
478,87.0
479,86.0
480,88.0
481,89.0
482,87.0
483,88.0
484,88.0
485,88.0
486,88.0
487,88.0
488,89.0
489,87.0
490,88.0
491,89.0
492,88.0
493,88.0
494,88.0
495,87.0
496,88.0
497,88.0
498,87.0
499,89.0
500,88.0
501,88.0
502,88.0
503,87.0
504,88.0
505,88.0
506,88.0
507,89.0
508,89.0
509,87.0
510,91.0
511,89.0
512,88.0
513,91.0
514,89.0
515,90.0
516,89.0
517,91.0
518,90.0
519,88.0
520,89.0
521,89.0
522,91.0
523,90.0
524,91.0
525,90.0
526,90.0
527,90.0
528,90.0
529,90.0
530,90.0
531,88.0
532,88.0
533,89.0
534,89.0
535,90.0
536,90.0
537,89.0
538,90.0
539,90.0
540,92.0
541,91.0
542,91.0
543,92.0
544,91.0
545,92.0
546,93.0
547,92.0
548,90.0
549,92.0
550,91.0
551,92.0
552,92.0
553,91.0
554,92.0
555,92.0
556,91.0
557,91.0
558,92.0
559,91.0
560,92.0
561,92.0
562,91.0
563,91.0
564,92.0
565,92.0
566,91.0
567,91.0
568,91.0
569,91.0
570,93.0
571,92.0
572,93.0
573,93.0
574,94.0
575,93.0
576,93.0
577,92.0
578,92.0
579,92.0
580,93.0
581,94.0
582,93.0
583,93.0
584,93.0
585,94.0
586,92.0
587,92.0
588,93.0
589,94.0
590,92.0
591,94.0
592,93.0
593,93.0
594,92.0
595,93.0
596,94.0
597,92.0
598,93.0
599,93.0
600,94.0
601,95.0
602,95.0
603,93.0
604,93.0
605,95.0
606,94.0
607,94.0
608,95.0
609,93.0
610,93.0
611,93.0
612,94.0
613,94.0
614,93.0
615,94.0
616,95.0
617,95.0
618,93.0
619,94.0
620,94.0
621,94.0
622,94.0
623,93.0
624,94.0
625,93.0
626,94.0
627,94.0
628,95.0
629,95.0
630,95.0
631,94.0
632,96.0
633,94.0
634,94.0
635,94.0
636,95.0
637,94.0
638,95.0
639,95.0
640,94.0
641,95.0
642,94.0
643,95.0
644,94.0
645,94.0
646,94.0
647,95.0
648,95.0
649,95.0
650,95.0
651,95.0
652,94.0
653,95.0
654,95.0
655,95.0
656,94.0
657,94.0
658,96.0
659,95.0
660,95.0
661,95.0
662,95.0
663,96.0
664,95.0
665,96.0
666,96.0
667,96.0
